开始节点,关系,结束节点,text
串行通信,包含,串行同步通信,串行通信又分为串行同步通信和串行异步通信。
串行通信,包含,串行异步通信,串行通信又分为串行同步通信和串行异步通信。
帧格式定义,等价,串行异步通信,串行异步通信等价于帧格式定义。
串行通信,包含,串行通信方式,串行通信还包含串行通信方式、串行通信接口标准、串口波特率的概念。
串行通信,包含,串行通信接口标准,串行通信还包含串行通信方式、串行通信接口标准、串口波特率的概念。
串行通信,包含,串口波特率的概念,串行通信还包含串行通信方式、串行通信接口标准、串口波特率的概念。
串行通信方式,包含,单工通信,串行通信方式有三个：单工通信、半双工通信和全双工通信。
串行通信方式,包含,半双工通信,串行通信方式有三个：单工通信、半双工通信和全双工通信。
串行通信方式,包含,全双工通信,串行通信方式有三个：单工通信、半双工通信和全双工通信。
串行通信接口标准,包含,RS232接口定义,串行通信接口标准包含了RS232接口定义、RS232接口电路和RS232转串口电路。
串行通信接口标准,包含,RS232接口电路,串行通信接口标准包含了RS232接口定义、RS232接口电路和RS232转串口电路。
串行通信接口标准,包含,RS232转串口电路,串行通信接口标准包含了RS232接口定义、RS232接口电路和RS232转串口电路。
串口波特率,包含,串口波特率定义,串口波特率包含了串口波特率定义和串口波特率计算。
串口波特率,包含,串口波特率计算,串口波特率包含了串口波特率定义和串口波特率计算。
串口工作方式,类型,串口工作方式0,串口工作方式有四种，分别是串口工作方式1、串口工作方式2、串口工作方式3、串口工作方式0。
串口工作方式,类型,串口工作方式1,串口工作方式有四种，分别是串口工作方式1、串口工作方式2、串口工作方式3、串口工作方式0。
串口工作方式,类型,串口工作方式2,串口工作方式有四种，分别是串口工作方式1、串口工作方式2、串口工作方式3、串口工作方式0。
串口工作方式,类型,串口工作方式3,串口工作方式有四种，分别是串口工作方式1、串口工作方式2、串口工作方式3、串口工作方式0。
串口引脚,包含,TXD,串口引脚包含了TXD和RXD。
串口引脚,包含,RXD,串口引脚包含了TXD和RXD。
SBUF,相关,TXD,TXD和RXD均与SBUF有关。
SBUF,相关,RXD,TXD和RXD均与SBUF有关。
串口结构,包含,串口控制寄存器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口结构,包含,串口数据缓冲器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口结构,包含,串口发送控制器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口结构,包含,串口接收控制器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口结构,包含,输入移位寄存器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口结构,包含,波特率发生器,串口结构中，包含了串口控制寄存器、串口数据缓冲器、串口发送控制器、串口接收控制器、输入移位寄存器和波特率发生器。
串口控制寄存器,等价,SCON,其中，串口控制寄存器等价于SCON。
串口数据缓冲器,等价,SBUF,串口数据缓冲器等价于SBUF。
串口发送控制器,控制,串口数据缓冲器,串口发送控制器能够控制串口数据缓冲器。
串口接收控制器,控制,串口数据缓冲器,串口接收控制器能够控制串口数据缓冲器。
串口控制寄存器,控制,串口发送控制器,串口控制寄存器能够控制串口发送控制器和串口接收控制器。
串口控制寄存器,控制,串口接收控制器,串口控制寄存器能够控制串口发送控制器和串口接收控制器。
串口接收控制器,控制,输入移位寄存器,串口接收控制器控制输入移位寄存器。
波特率发生器,相关,串口发送控制器,波特率发生器与串口发送控制器、串口接收控制器有关。
波特率发生器,相关,串口接收控制器,波特率发生器与串口发送控制器、串口接收控制器有关。
串口编程,包含,串口初始化,串口编程的过程包括了串口初始化和串口函数。
串口编程,包含,串口函数,串口编程的过程包括了串口初始化和串口函数。
串口初始化,相关,串口函数,串口初始化和串口函数相关。
定时计数器,包含,定时计数器编程,定时计数器主要包含了五个部分：定时计数器编程、定时计数器内部结构、定时计数器引脚、定时计数器工作方式和定时计数器控制寄存器。
定时计数器,包含,定时计数器内部结构,定时计数器主要包含了五个部分：定时计数器编程、定时计数器内部结构、定时计数器引脚、定时计数器工作方式和定时计数器控制寄存器。
定时计数器,包含,定时计数器控制寄存器,定时计数器主要包含了五个部分：定时计数器编程、定时计数器内部结构、定时计数器引脚、定时计数器工作方式和定时计数器控制寄存器。
定时计数器,包含,定时计数器引脚,定时计数器主要包含了五个部分：定时计数器编程、定时计数器内部结构、定时计数器引脚、定时计数器工作方式和定时计数器控制寄存器。
定时计数器,包含,定时计数器工作方式,定时计数器主要包含了五个部分：定时计数器编程、定时计数器内部结构、定时计数器引脚、定时计数器工作方式和定时计数器控制寄存器。
定时计数器编程,包含,定时计数器初始化,定时计数器编程又包含了定时计数器初始化和定时计数器函数。
定时计数器编程,包含,定时计数器函数,定时计数器编程又包含了定时计数器初始化和定时计数器函数。
定时计数器初始化,相关,定时计数器函数,定时计数器初始化和定时计数器函数有关。
定时计数器初始化,赋值,定时计数器初值计算,定时计数器初始化能够对定时计数器初值计算、TCON、TMOD进行赋值。
定时计数器初始化,赋值,TCON,定时计数器初始化能够对定时计数器初值计算、TCON、TMOD进行赋值。
定时计数器初始化,赋值,TMOD,定时计数器初始化能够对定时计数器初值计算、TCON、TMOD进行赋值。
定时计数器内部结构,包含,TMOD,定时计数器内部结构包括了TCON、TMOD、定时计数器T0和定时计数器T1。
定时计数器内部结构,包含,TCON,定时计数器内部结构包括了TCON、TMOD、定时计数器T0和定时计数器T1。
定时计数器内部结构,包含,定时计数器T1,定时计数器内部结构包括了TCON、TMOD、定时计数器T0和定时计数器T1。
定时计数器内部结构,包含,定时计数器T0,定时计数器内部结构包括了TCON、TMOD、定时计数器T0和定时计数器T1。
TCON,控制,定时计数器T0,TCON能够控制定时计数器T0和定时计数器T1。
TCON,控制,定时计数器T1,TCON能够控制定时计数器T0和定时计数器T1。
TMOD,控制,定时计数器T0,TMOD能够控制定时计数器T0和定时计数器T1。
TMOD,控制,定时计数器T1,TMOD能够控制定时计数器T0和定时计数器T1。
定时计数器工作方式,类型,定时计数器工作方式0,定时计数器工作方式有四种类型：定时计数器工作方式0、定时计数器工作方式1、定时计数器工作方式2、定时计数器工作方式3。
定时计数器工作方式,类型,定时计数器工作方式1,定时计数器工作方式有四种类型：定时计数器工作方式0、定时计数器工作方式1、定时计数器工作方式2、定时计数器工作方式3。
定时计数器工作方式,类型,定时计数器工作方式2,定时计数器工作方式有四种类型：定时计数器工作方式0、定时计数器工作方式1、定时计数器工作方式2、定时计数器工作方式3。
定时计数器工作方式,类型,定时计数器工作方式3,定时计数器工作方式有四种类型：定时计数器工作方式0、定时计数器工作方式1、定时计数器工作方式2、定时计数器工作方式3。
定时计数器控制寄存器,包含,TCON,定时计数器控制寄存器包含了TCON、TMOD。
定时计数器控制寄存器,包含,TMOD,定时计数器控制寄存器包含了TCON、TMOD。
TCON,位标志,TF0,TCON的位标志有TF0和TF1。
TCON,位标志,TF1,TCON的位标志有TF0和TF1。
中断系统,包含,中断应用,中断系统包含了中断应用、中断源、中断允许寄存器、中断优先寄存器、中断优先级。
中断系统,包含,中断允许寄存器,中断系统包含了中断应用、中断源、中断允许寄存器、中断优先寄存器、中断优先级。
中断系统,包含,中断优先寄存器,中断系统包含了中断应用、中断源、中断允许寄存器、中断优先寄存器、中断优先级。
中断系统,包含,中断优先级,中断系统包含了中断应用、中断源、中断允许寄存器、中断优先寄存器、中断优先级。
中断应用,包含,中断初始化,在中断应用中，又包含了中断初始化和中断函数。
中断应用,包含,中断函数,在中断应用中，又包含了中断初始化和中断函数。
中断初始化,相关,中断函数,中断初始化和中断函数有关系。
中断初始化,赋值,IE,中断初始化能够给IE和IP赋值。
中断初始化,赋值,IP,中断初始化能够给IE和IP赋值。
中断源,类型,外中断0,中断源共有五种，分别为外中断0、外中断1、定时器0、定时器1和串口中断。
中断源,类型,外中断1,中断源共有五种，分别为外中断0、外中断1、定时器0、定时器1和串口中断。
中断源,类型,定时器0,中断源共有五种，分别为外中断0、外中断1、定时器0、定时器1和串口中断。
中断源,类型,定时器1,中断源共有五种，分别为外中断0、外中断1、定时器0、定时器1和串口中断。
中断源,类型,串口中断,中断源共有五种，分别为外中断0、外中断1、定时器0、定时器1和串口中断。
外中断0,等价,IE0,外中断0等价于IE0。
外中断1,等价,IE1,外中断1等价于IE1。
定时器0,等价,TF0,定时器0等价于TF0。
定时器1,等价,TF1,定时器1等价于TF1。
串口中断,等价,RI,串口中断等价于RI和TI。
串口中断,等价,TI,串口中断等价于RI和TI。
外中断0,并列,外中断1,外中断0、外中断1、定时器0、定时器1和串口中断相互之间为并列关系。
外中断0,并列,定时器0,外中断0、外中断1、定时器0、定时器1和串口中断相互之间为并列关系。
外中断0,并列,定时器1,外中断0、外中断1、定时器0、定时器1和串口中断相互之间为并列关系。
外中断0,并列,串口中断,外中断0、外中断1、定时器0、定时器1和串口中断相互之间为并列关系。
外中断1,并列,定时器0,外中断0、外中断1、定时器0、定时器1和串口中断相互之间为并列关系。
外中断1,并列,定时器1,外中断0、外中断1、定时器0、定时器1和串口中断相互之间为并列关系。
外中断1,并列,串口中断,外中断0、外中断1、定时器0、定时器1和串口中断相互之间为并列关系。
定时器0,并列,定时器1,外中断0、外中断1、定时器0、定时器1和串口中断相互之间为并列关系。
定时器0,并列,串口中断,外中断0、外中断1、定时器0、定时器1和串口中断相互之间为并列关系。
定时器1,并列,串口中断,外中断0、外中断1、定时器0、定时器1和串口中断相互之间为并列关系。
中断源,控制,中断允许寄存器,中断源能够控制中断允许寄存器和中断优先寄存器。
中断源,控制,中断优先寄存器,中断源能够控制中断允许寄存器和中断优先寄存器。
中断允许寄存器,等价,IE,中断允许寄存器等价于IE。
中断优先寄存器,等价,IP,中断优先寄存器等价于IP。
IE,位标志,EX0,IE的位标志有EX0和EA。
IE,位标志,EA,IE的位标志有EX0和EA。
中断优先级,类型,自然优先级,中断优先级的类型有三种，分别为自然优先级、高级优先级和低级优先级。
中断优先级,类型,高级优先级,中断优先级的类型有三种，分别为自然优先级、高级优先级和低级优先级。
中断优先级,类型,低级优先级,中断优先级的类型有三种，分别为自然优先级、高级优先级和低级优先级。
IP,控制,自然优先级,IP能够控制自然优先级、高级优先级和低级优先级。
IP,控制,高级优先级,IP能够控制自然优先级、高级优先级和低级优先级。
IP,控制,低级优先级,IP能够控制自然优先级、高级优先级和低级优先级。
存储器,包含,片内ROM,存储器包含了四部分：片内ROM、片外ROM、片内RAM、片外RAM。
存储器,包含,片内RAM,存储器包含了四部分：片内ROM、片外ROM、片内RAM、片外RAM。
存储器,包含,片外ROM,存储器包含了四部分：片内ROM、片外ROM、片内RAM、片外RAM。
存储器,包含,片外RAM,存储器包含了四部分：片内ROM、片外ROM、片内RAM、片外RAM。
片内ROM,包含,中断向量,片内ROM包含了中断向量。
中断向量,类型,外中断0入口地址,中断向量的类型为外中断0入口地址、外中断1入口地址、定时器0入口地址、定时器1入口地址和串口中断入口地址。
中断向量,类型,外中断1入口地址,中断向量的类型为外中断0入口地址、外中断1入口地址、定时器0入口地址、定时器1入口地址和串口中断入口地址。
中断向量,类型,定时器0入口地址,中断向量的类型为外中断0入口地址、外中断1入口地址、定时器0入口地址、定时器1入口地址和串口中断入口地址。
中断向量,类型,定时器1入口地址,中断向量的类型为外中断0入口地址、外中断1入口地址、定时器0入口地址、定时器1入口地址和串口中断入口地址。
中断向量,类型,串口中断入口地址,中断向量的类型为外中断0入口地址、外中断1入口地址、定时器0入口地址、定时器1入口地址和串口中断入口地址。
片内ROM,扩展,片外ROM,片内ROM扩展得到片外ROM。
EA,读写,片外ROM,EA与片外ROM是读写关系。
PSEN,读写,片外ROM,PSEN与片外ROM是读写关系。
片内RAM,包含,工作寄存器区,片内RAM包含了工作寄存器区、位寻址区、用户区和SFR。
片内RAM,包含,位寻址区,片内RAM包含了工作寄存器区、位寻址区、用户区和SFR。
片内RAM,包含,位寻址区,片内RAM包含了工作寄存器区、位寻址区、用户区和SFR。
片内RAM,包含,用户区,片内RAM包含了工作寄存器区、位寻址区、用户区和SFR。
片内RAM,包含,SFR,片内RAM包含了工作寄存器区、位寻址区、用户区和SFR。
片内RAM,扩展,片外RAM,片内RAM扩展得到片外RAM。
引脚,包含,控制引脚,引脚主要包含了以下几部分：控制引脚、电源及时钟引脚、引脚第二功能、I/O引脚、系统总线。
引脚,包含,电源及时钟引脚,引脚主要包含了以下几部分：控制引脚、电源及时钟引脚、引脚第二功能、I/O引脚、系统总线。
引脚,包含,引脚第二功能,引脚主要包含了以下几部分：控制引脚、电源及时钟引脚、引脚第二功能、I/O引脚、系统总线。
引脚,包含,I/O引脚,引脚主要包含了以下几部分：控制引脚、电源及时钟引脚、引脚第二功能、I/O引脚、系统总线。
引脚,包含,系统总线,引脚主要包含了以下几部分：控制引脚、电源及时钟引脚、引脚第二功能、I/O引脚、系统总线。
控制引脚,包含,EA,控制引脚包含EA、PSEN、RST、ALE。
控制引脚,包含,PSEN,控制引脚包含EA、PSEN、RST、ALE。
控制引脚,包含,RST,控制引脚包含EA、PSEN、RST、ALE。
控制引脚,包含,ALE,控制引脚包含EA、PSEN、RST、ALE。
电源及时钟引脚,包含,VSS,电源及时钟引脚包含了VSS、VCC、XTAL1、XTAL2。
电源及时钟引脚,包含,VCC,电源及时钟引脚包含了VSS、VCC、XTAL1、XTAL2。
电源及时钟引脚,包含,XTAL1,电源及时钟引脚包含了VSS、VCC、XTAL1、XTAL2。
电源及时钟引脚,包含,XTAL2,电源及时钟引脚包含了VSS、VCC、XTAL1、XTAL2。
引脚第二功能,相关,I/O引脚,引脚第二功能与I/O引脚有关。
I/O引脚,包含,P0,I/O引脚包含了P0、P1、P2、P3。
I/O引脚,包含,P1,I/O引脚包含了P0、P1、P2、P3。
I/O引脚,包含,P2,I/O引脚包含了P0、P1、P2、P3。
I/O引脚,包含,P3,I/O引脚包含了P0、P1、P2、P3。
系统总线,类型,数据总线,系统总线分为了数据总线、地址总线和控制总线。
系统总线,类型,地址总线,系统总线分为了数据总线、地址总线和控制总线。
系统总线,类型,控制总线,系统总线分为了数据总线、地址总线和控制总线。
时钟电路,包含,XTAL1,时钟电路包含了XTAL1、XTAL2、指令周期、机器周期和时钟周期。
时钟电路,包含,XTAL2,时钟电路包含了XTAL1、XTAL2、指令周期、机器周期和时钟周期。
时钟电路,包含,指令周期,时钟电路包含了XTAL1、XTAL2、指令周期、机器周期和时钟周期。
时钟电路,包含,机器周期,时钟电路包含了XTAL1、XTAL2、指令周期、机器周期和时钟周期。
时钟电路,包含,时钟周期,时钟电路包含了XTAL1、XTAL2、指令周期、机器周期和时钟周期。
指令周期,相关,机器周期,指令周期和机器周期有关。
机器周期,相关,时钟周期,机器周期和时钟周期有关。
P3.7,相关,RD,P3.7的第二功能是RD，是外部数据存储器的读选通输出。
P3.6,相关,WR,P3.6的第二功能是WR，是外部数据存储器的写选通输出。
P3.5,相关,T1,P3.5的第二功能是T1，是定时器1外部计数的输入。
P3.4,相关,T0,P3.4的第二功能是T0，是定时器0外部计数的输入。
P3.3,相关,INT1,P3.3的第二功能是INT1，是外部中断1的输入。
P3.2,相关,INT0,P3.2的第二功能是INT0，是外部中断0的输入。
P3.1,相关,TXD,P3.1的第二功能是TXD，是串行数据的输出口。
P3.0,相关,RXD,P3.0的第二功能是RXD，是串行数据的输入口。
P0口,包含,P0.7,P0口是8位，分别为P0.7、P0.6、P0.5、P0.4、P0.3、P0.2、P0.1、P0.0。
P0口,包含,P0.6,P0口是8位，分别为P0.7、P0.6、P0.5、P0.4、P0.3、P0.2、P0.1、P0.0。
P0口,包含,P0.5,P0口是8位，分别为P0.7、P0.6、P0.5、P0.4、P0.3、P0.2、P0.1、P0.0。
P0口,包含,P0.4,P0口是8位，分别为P0.7、P0.6、P0.5、P0.4、P0.3、P0.2、P0.1、P0.0。
P0口,包含,P0.3,P0口是8位，分别为P0.7、P0.6、P0.5、P0.4、P0.3、P0.2、P0.1、P0.0。
P0口,包含,P0.2,P0口是8位，分别为P0.7、P0.6、P0.5、P0.4、P0.3、P0.2、P0.1、P0.0。
P0口,包含,P0.1,P0口是8位，分别为P0.7、P0.6、P0.5、P0.4、P0.3、P0.2、P0.1、P0.0。
P0口,包含,P0.0,P0口是8位，分别为P0.7、P0.6、P0.5、P0.4、P0.3、P0.2、P0.1、P0.0。
P1口,包含,P1.7,P1口是8位，分别为P1.7、P1.6、P1.5、P1.4、P1.3、P1.2、P1.1、P1.0。
P1口,包含,P1.6,P1口是8位，分别为P1.7、P1.6、P1.5、P1.4、P1.3、P1.2、P1.1、P1.0。
P1口,包含,P1.5,P1口是8位，分别为P1.7、P1.6、P1.5、P1.4、P1.3、P1.2、P1.1、P1.0。
P1口,包含,P1.4,P1口是8位，分别为P1.7、P1.6、P1.5、P1.4、P1.3、P1.2、P1.1、P1.0。
P1口,包含,P1.3,P1口是8位，分别为P1.7、P1.6、P1.5、P1.4、P1.3、P1.2、P1.1、P1.0。
P1口,包含,P1.2,P1口是8位，分别为P1.7、P1.6、P1.5、P1.4、P1.3、P1.2、P1.1、P1.0。
P1口,包含,P1.1,P1口是8位，分别为P1.7、P1.6、P1.5、P1.4、P1.3、P1.2、P1.1、P1.0。
P1口,包含,P1.0,P1口是8位，分别为P1.7、P1.6、P1.5、P1.4、P1.3、P1.2、P1.1、P1.0。
P2口,包含,P2.7,P2口是8位，分别为P2.7、P2.6、P2.5、P2.4、P2.3、P2.2、P2.1、P2.0。
P2口,包含,P2.6,P2口是8位，分别为P2.7、P2.6、P2.5、P2.4、P2.3、P2.2、P2.1、P2.0。
P2口,包含,P2.5,P2口是8位，分别为P2.7、P2.6、P2.5、P2.4、P2.3、P2.2、P2.1、P2.0。
P2口,包含,P2.4,P2口是8位，分别为P2.7、P2.6、P2.5、P2.4、P2.3、P2.2、P2.1、P2.0。
P2口,包含,P2.3,P2口是8位，分别为P2.7、P2.6、P2.5、P2.4、P2.3、P2.2、P2.1、P2.0。
P2口,包含,P2.2,P2口是8位，分别为P2.7、P2.6、P2.5、P2.4、P2.3、P2.2、P2.1、P2.0。
P2口,包含,P2.1,P2口是8位，分别为P2.7、P2.6、P2.5、P2.4、P2.3、P2.2、P2.1、P2.0。
P2口,包含,P2.0,P2口是8位，分别为P2.7、P2.6、P2.5、P2.4、P2.3、P2.2、P2.1、P2.0。
P3口,包含,P3.7, P3口是8位，分别为P3.7、P3.6、P3.5、P3.4、P3.3、P3.2、P3.1、P3.0。
P3口,包含,P3.6, P3口是8位，分别为P3.7、P3.6、P3.5、P3.4、P3.3、P3.2、P3.1、P3.0。
P3口,包含,P3.5, P3口是8位，分别为P3.7、P3.6、P3.5、P3.4、P3.3、P3.2、P3.1、P3.0。
P3口,包含,P3.4, P3口是8位，分别为P3.7、P3.6、P3.5、P3.4、P3.3、P3.2、P3.1、P3.0。
P3口,包含,P3.3, P3口是8位，分别为P3.7、P3.6、P3.5、P3.4、P3.3、P3.2、P3.1、P3.0。
P3口,包含,P3.2, P3口是8位，分别为P3.7、P3.6、P3.5、P3.4、P3.3、P3.2、P3.1、P3.0。
P3口,包含,P3.1, P3口是8位，分别为P3.7、P3.6、P3.5、P3.4、P3.3、P3.2、P3.1、P3.0。
P3口,包含,P3.0, P3口是8位，分别为P3.7、P3.6、P3.5、P3.4、P3.3、P3.2、P3.1、P3.0。
CPU,包含,运算器,CPU包括运算器和控制器。
CPU,包含,控制器,CPU包括运算器和控制器。
CPU,包含,中断系统, CPU还包括中断系统和部分外部特殊功能寄存器。
CPU,包含,特殊功能寄存器,CPU还包括中断系统和部分外部特殊功能寄存器。
CPU,包含,特殊功能寄存器,CPU还包括中断系统和部分外部特殊功能寄存器。
运算器,等价,ALU,运算器同义于ALU。
控制器,等价,EU,控制器同义于EU。
T/C,等价,定时计数器,T/C是两个定时/记数器。
外接晶体引脚,包含,XTAL1,外接晶体引脚分为XTAL1和XTAL2。
外接晶体引脚,包含,XTAL2,外接晶体引脚分为XTAL1和XTAL2。
XTAL1,相关,片内振荡电路反相放大器,XTAL1是片内振荡电路反相放大器输入。
XTAL2,相关,片内振荡电路反相放大器,XTAL2是片内振荡电路反相放大器输出。
CPU,连接,数据总线,CPU与其他部件间通过数据总线、地址总线、控制总线相连接。
CPU,连接,地址总线,CPU与其他部件间通过数据总线、地址总线、控制总线相连接。
CPU,连接,控制总线,CPU与其他部件间通过数据总线、地址总线、控制总线相连接。
微处理器,等价,CPU,微处理器同义于CPU。
数据存储器,等价,RAM,数据存储器同义于RAM。
程序存储器,等价,ROM,程序存储器同义于ROM。
看门狗定时器,等价,WDT,看门狗定时器同义于WDT。
特殊功能寄存器,等价,SFR,特殊功能寄存器同义于SFR。
微处理器,包含,运算器,微处理器是8位的，包括了运算器和控制器两大部分，还有面向控制的位处理功能。
微处理器,包含,控制器,微处理器是8位的，包括了运算器和控制器两大部分，还有面向控制的位处理功能。
微处理器,包含,位处理功能,微处理器是8位的，包括了运算器和控制器两大部分，还有面向控制的位处理功能。
AT89S5,包含,定时计数器,AT89S51有2个16位的定时器/计数器，定时器/计数器4种工作方式。
定时计数器,包含,定时计数器工作方式0,AT89S51有2个16位的定时器/计数器，定时器/计数器4种工作方式。
定时计数器,包含,定时计数器工作方式1,AT89S51有2个16位的定时器/计数器，定时器/计数器4种工作方式。
定时计数器,包含,定时计数器工作方式2,AT89S51有2个16位的定时器/计数器，定时器/计数器4种工作方式。
定时计数器,包含,定时计数器工作方式3,AT89S51有2个16位的定时器/计数器，定时器/计数器4种工作方式。
串行口,包含,异步串口,串行口有1个全双工的异步串口，可进行串行通信，扩展并行I/O口，还可与多个单片机构成多机通信系统。
串行口,相关,多机通信系统,串行口有1个全双工的异步串口，可进行串行通信，扩展并行I/O口，还可与多个单片机构成多机通信系统。
特殊功能寄存器,相关,片内RAM,特殊功能寄存器对片内各功能部件管理、控制和监视，是各功能件的控制寄存器和状态寄存器，映射片内RAM区80H～FFH内。
RST,相关,复位信号输入,RST为9脚，是复位信号输入，在RST加上持续时间大于2个机器周期的高电平，可使单片机复位。
EA,相关,外部程序存储器,EA是外部程序存储器访问允许控制端。
LE,相关,CPU,LE为CPU访问外部程序存储器或外部数据存储器提供地址锁存控制信号。
LE,相关,外部程序存储器,LE为CPU访问外部程序存储器或外部数据存储器提供地址锁存控制信号。
LE,相关,外部数据存储器,LE为CPU访问外部程序存储器或外部数据存储器提供地址锁存控制信号。
LE,相关,地址锁存控制信号,LE为CPU访问外部程序存储器或外部数据存储器提供地址锁存控制信号。
LE,相关,地址锁存器,LE将低8位地址锁存在片外的地址锁存器中。
引脚,类型,电源及时钟引脚,引脚按其功能可分为电源及时钟引脚、控制引脚、I/O口引脚。
引脚,类型,控制引脚,引脚按其功能可分为电源及时钟引脚、控制引脚、I/O口引脚。
引脚,类型,I/O口引脚,引脚按其功能可分为电源及时钟引脚、控制引脚、I/O口引脚。
电源及时钟引脚,类型,VCC,电源及时钟引脚有VCC、VSS、XTAL1、XTAL2。
电源及时钟引脚,类型,VSS,电源及时钟引脚有VCC、VSS、XTAL1、XTAL2。
电源及时钟引脚,类型,XTAL1,电源及时钟引脚有VCC、VSS、XTAL1、XTAL2。
电源及时钟引脚,类型,XTAL2,电源及时钟引脚有VCC、VSS、XTAL1、XTAL2。
控制引脚,类型,PSEN,控制引脚有PSEN、ALE、EA、RST（RESET）
