开始节点,关系,结束节点,text
控制引脚,类型,RST,控制引脚有PSEN、ALE、EA、RST（RESET）
控制引脚,类型,ALE,控制引脚有PSEN、ALE、EA、RST（RESET）
控制引脚,类型,EA,控制引脚有PSEN、ALE、EA、RST（RESET）
I/O口引脚,类型,P0,I/O口引脚有P0、P1、P2、P3。
I/O口引脚,类型,P1,I/O口引脚有P0、P1、P2、P3。
I/O口引脚,类型,P2,I/O口引脚有P0、P1、P2、P3。
I/O口引脚,类型,P3,I/O口引脚有P0、P1、P2、P3。
RST,相关,机器周期,RST为9脚，是复位信号输入，在RST加上持续时间大于2个机器周期的高电平，可使单片机复位。
RST,相关,复位信号,RST为9脚，是复位信号输入，在RST加上持续时间大于2个机器周期的高电平，可使单片机复位。
EA,相关,外部程序存储器,EA是外部程序存储器访问允许控制端。
LE,相关,外部程序存储器,LE为CPU访问外部程序存储器或外部数据存储器提供地址锁存控制信号。
LE,相关,外部数据存储器,LE为CPU访问外部程序存储器或外部数据存储器提供地址锁存控制信号。
LE,相关,地址锁存器,LE将低8位地址锁存在片外的地址锁存器中。
I/O接口,相关,P0口,当外扩存储器及I/O接口芯片时，P0口作为低8位地址总线及数据总线的分时复用端口。
P0口,相关,地址总线,当外扩存储器及I/O接口芯片时，P0口作为低8位地址总线及数据总线的分时复用端口。
P0口,相关,数据总线,当外扩存储器及I/O接口芯片时，P0口作为低8位地址总线及数据总线的分时复用端口。
P0口,等价,I/O口,P0口也可作通用的I/O口用，需加上拉电阻，这时为准双向口。
P1口,包含,P1.7,P1口是P1.7~ P1.0脚，是准双向I/O口，内有上拉电阻。
P1口,包含,P1.6,P1口是P1.7~ P1.0脚，是准双向I/O口，内有上拉电阻。
P1口,包含,P1.5,P1口是P1.7~ P1.0脚，是准双向I/O口，内有上拉电阻。
P1口,包含,P1.4,P1口是P1.7~ P1.0脚，是准双向I/O口，内有上拉电阻。
P1口,包含,P1.3,P1口是P1.7~ P1.0脚，是准双向I/O口，内有上拉电阻。
P1口,包含,P1.2,P1口是P1.7~ P1.0脚，是准双向I/O口，内有上拉电阻。
P1口,包含,P1.1,P1口是P1.7~ P1.0脚，是准双向I/O口，内有上拉电阻。
P1口,包含,P1.0,P1口是P1.7~ P1.0脚，是准双向I/O口，内有上拉电阻。
P2口,包含,P2.7,P2口是P2.7~ P2.0脚，是准双向I/O口。P2口具有内部上拉电阻。
P2口,包含,P2.6,P2口是P2.7~ P2.0脚，是准双向I/O口。P2口具有内部上拉电阻。
P2口,包含,P2.5,P2口是P2.7~ P2.0脚，是准双向I/O口。P2口具有内部上拉电阻。
P2口,包含,P2.4,P2口是P2.7~ P2.0脚，是准双向I/O口。P2口具有内部上拉电阻。
P2口,包含,P2.3,P2口是P2.7~ P2.0脚，是准双向I/O口。P2口具有内部上拉电阻。
P2口,包含,P2.2,P2口是P2.7~ P2.0脚，是准双向I/O口。P2口具有内部上拉电阻。
P2口,包含,P2.1,P2口是P2.7~ P2.0脚，是准双向I/O口。P2口具有内部上拉电阻。
P2口,包含,P2.0,P2口是P2.7~ P2.0脚，是准双向I/O口。P2口具有内部上拉电阻。
外部存储器,相关,P2口,当AT89S51扩展外部存储器时，P2口作为高8位地址总线输出高8位地址。
外部存储器,相关,地址总线,当AT89S51扩展外部存储器时，P2口作为高8位地址总线输出高8位地址。
P2口,相关,地址总线,当AT89S51扩展外部存储器时，P2口作为高8位地址总线输出高8位地址。
P3口,包含,P3.7,P3口是P3.7~ P3.0脚，是准双向I/O口。P3口具有内部上拉电阻。
P3口,包含,P3.6,P3口是P3.7~ P3.0脚，是准双向I/O口。P3口具有内部上拉电阻。
P3口,包含,P3.5,P3口是P3.7~ P3.0脚，是准双向I/O口。P3口具有内部上拉电阻。
P3口,包含,P3.4,P3口是P3.7~ P3.0脚，是准双向I/O口。P3口具有内部上拉电阻。
P3口,包含,P3.3,P3口是P3.7~ P3.0脚，是准双向I/O口。P3口具有内部上拉电阻。
P3口,包含,P3.2,P3口是P3.7~ P3.0脚，是准双向I/O口。P3口具有内部上拉电阻。
P3口,包含,P3.1,P3口是P3.7~ P3.0脚，是准双向I/O口。P3口具有内部上拉电阻。
P3口,包含,P3.0,P3口是P3.7~ P3.0脚，是准双向I/O口。P3口具有内部上拉电阻。
P0口,相关,通用I/O,P0口作为总线口时，为双向口，作通用I/O用时，为准双向口。
P3.7,相关,RD,P3.7的第二功能是RD，是外部数据存储器的读选通输出。
P3.6,相关,WR,P3.6的第二功能是WR，是外部数据存储器的写选通输出。
P3.5,相关,T1,P3.5的第二功能是T1，是定时器1外部计数的输入。
P3.4,相关,T0,P3.4的第二功能是T0，是定时器0外部计数的输入。
P3.3,相关,INT1,P3.3的第二功能是INT1，是外部中断1的输入。
P3.2,相关,INT0,P3.2的第二功能是INT0，是外部中断0的输入。
P3.1,相关,TXD,P3.1的第二功能是TXD，是串行数据的输出口。
P3.0,相关,RXD,P3.0的第二功能是RXD，是串行数据的输入口。
运算器,相关,算术,运算器能够对操作数进行算术、逻辑和位操作运算。运算器主要包括算术逻辑运算单元ALU、累加器A、位处理器、程序状态字寄存器PSW及两个暂存器等。
运算器,相关,位操作运算,运算器能够对操作数进行算术、逻辑和位操作运算。运算器主要包括算术逻辑运算单元ALU、累加器A、位处理器、程序状态字寄存器PSW及两个暂存器等。
运算器,相关,算术逻辑运算单元,运算器能够对操作数进行算术、逻辑和位操作运算。运算器主要包括算术逻辑运算单元ALU、累加器A、位处理器、程序状态字寄存器PSW及两个暂存器等。
运算器,相关,ALU,运算器能够对操作数进行算术、逻辑和位操作运算。运算器主要包括算术逻辑运算单元ALU、累加器A、位处理器、程序状态字寄存器PSW及两个暂存器等。
运算器,相关,累加器,运算器能够对操作数进行算术、逻辑和位操作运算。运算器主要包括算术逻辑运算单元ALU、累加器A、位处理器、程序状态字寄存器PSW及两个暂存器等。
运算器,相关,A,运算器能够对操作数进行算术、逻辑和位操作运算。运算器主要包括算术逻辑运算单元ALU、累加器A、位处理器、程序状态字寄存器PSW及两个暂存器等。
运算器,相关,位处理器,运算器能够对操作数进行算术、逻辑和位操作运算。运算器主要包括算术逻辑运算单元ALU、累加器A、位处理器、程序状态字寄存器PSW及两个暂存器等。
运算器,相关,程序状态字寄存器,运算器能够对操作数进行算术、逻辑和位操作运算。运算器主要包括算术逻辑运算单元ALU、累加器A、位处理器、程序状态字寄存器PSW及两个暂存器等。
运算器,相关,PSW器,运算器能够对操作数进行算术、逻辑和位操作运算。运算器主要包括算术逻辑运算单元ALU、累加器A、位处理器、程序状态字寄存器PSW及两个暂存器等。
运算器,相关,暂存器,运算器能够对操作数进行算术、逻辑和位操作运算。运算器主要包括算术逻辑运算单元ALU、累加器A、位处理器、程序状态字寄存器PSW及两个暂存器等。
算术逻辑运算单元,相关,算术运算,算术逻辑运算单元ALU可对8位变量进行逻辑运算，还可以算术运算。
ALU,相关,算术运算,算术逻辑运算单元ALU可对8位变量进行逻辑运算，还可以算术运算。
ALU,相关,位操作,ALU还有位操作功能。
累加器,相关,CPU,累加器A是CPU中的一个8位寄存器。
累加器,相关,ALU,累加器A是ALU单元的输入数据源之一。
程序状态字寄存器,等价,PSW,程序状态字寄存器PSW位于片内特殊功能寄存器区。
程序状态字寄存器,相关,片内特殊功能寄存器区,程序状态字寄存器PSW位于片内特殊功能寄存器区。
PSW,相关,片内特殊功能寄存器区,程序状态字寄存器PSW位于片内特殊功能寄存器区。
PSW,位标志,Cy,PSW的格式为Cy、Ac、F0、RS1、RS0、OV、-、P。
PSW,位标志,Ac,PSW的格式为Cy、Ac、F0、RS1、RS0、OV、-、P。
PSW,位标志,F0,PSW的格式为Cy、Ac、F0、RS1、RS0、OV、-、P。
PSW,位标志,RS1,PSW的格式为Cy、Ac、F0、RS1、RS0、OV、-、P。
PSW,位标志,RS0,PSW的格式为Cy、Ac、F0、RS1、RS0、OV、-、P。
PSW,位标志,OV,PSW的格式为Cy、Ac、F0、RS1、RS0、OV、-、P。
PSW,位标志,P,PSW的格式为Cy、Ac、F0、RS1、RS0、OV、-、P。
Cy,相关,逻辑运算,Cy在算术和逻辑运算时，若有进位或者借位，Cy＝1；否则，Cy＝0。
Cy,相关,算术运算,Cy在算术和逻辑运算时，若有进位或者借位，Cy＝1；否则，Cy＝0。
RS1,相关,工作寄存器区,RS1（PSW.4）和RS0（PSW.3）是4组工作寄存器区选择。
RS0,相关,工作寄存器区,RS1（PSW.4）和RS0（PSW.3）是4组工作寄存器区选择。
RS0,相关,片内RAM,RS1和RS0能够选择片内RAM区中的4组工作寄存器区中的某一组为当前工作寄存区。
RS1,相关,片内RAM,RS1和RS0能够选择片内RAM区中的4组工作寄存器区中的某一组为当前工作寄存区。
OV,相关,溢出标志位,OV（PSW.2）是溢出标志位。
控制器,包含,程序计数器,控制器包括：程序计数器、指令寄存器、指令译码器、定时及控制逻辑电路等。
控制器,包含,指令寄存器,控制器包括：程序计数器、指令寄存器、指令译码器、定时及控制逻辑电路等。
控制器,包含,指令译码器,控制器包括：程序计数器、指令寄存器、指令译码器、定时及控制逻辑电路等。
控制器,包含,定时及控制逻辑电路,控制器包括：程序计数器、指令寄存器、指令译码器、定时及控制逻辑电路等。
存储器空间,包含,程序存储器空间,存储器空间可分为4类，分别是程序存储器空间、数据存储器空间、特殊功能寄存器SFR、位地址空间。
存储器空间,包含,数据存储器空间,存储器空间可分为4类，分别是程序存储器空间、数据存储器空间、特殊功能寄存器SFR、位地址空间。
存储器空间,包含,特殊功能寄存器,存储器空间可分为4类，分别是程序存储器空间、数据存储器空间、特殊功能寄存器SFR、位地址空间。
存储器空间,包含,位地址空间,存储器空间可分为4类，分别是程序存储器空间、数据存储器空间、特殊功能寄存器SFR、位地址空间。
特殊功能寄存器,等价,SFR,存储器空间可分为4类，分别是程序存储器空间、数据存储器空间、特殊功能寄存器SFR、位地址空间。
程序存储器空间,类型,片内程序存储器,程序存储器空间有片内程序存储器、片外程序存储器两部分。
程序存储器空间,类型,片外程序存储器,程序存储器空间有片内程序存储器、片外程序存储器两部分。
数据存储器空间,类型,片外数据存储器空间,数据存储器空间有片内数据存储器空间、片外数据存储器空间两部分。
数据存储器空间,类型,片内数据存储器空间,数据存储器空间有片内数据存储器空间、片外数据存储器空间两部分。
特殊功能寄存器,相关,单片机,特殊功能寄存器SFR的实质是各外围部件的控制寄存器及状态寄存器，综合反映单片机内部实际的工作状态及工作方式。
特殊功能寄存器,相关,状态寄存器,特殊功能寄存器SFR的实质是各外围部件的控制寄存器及状态寄存器，综合反映单片机内部实际的工作状态及工作方式。
特殊功能寄存器,相关,控制寄存器,特殊功能寄存器SFR的实质是各外围部件的控制寄存器及状态寄存器，综合反映单片机内部实际的工作状态及工作方式。
特殊功能寄存器,等价,SFR,特殊功能寄存器SFR的实质是各外围部件的控制寄存器及状态寄存器，综合反映单片机内部实际的工作状态及工作方式。
位地址,相关,寻址位,位地址空间共211个可寻址位，构成了位地址空间。
位地址空间,相关,RAM,位地址空间位于内部RAM和特殊功能寄存器区中。
位地址空间,相关,特殊功能寄存器区,位地址空间位于内部RAM和特殊功能寄存器区中。
数据存储器,类型,片内数据存储器,数据存储器分为片内数据存储器与片外数据存储器两部分。
数据存储器,类型,片外数据存储器,数据存储器分为片内数据存储器与片外数据存储器两部分。
特殊功能寄存器,相关,片内RAM,特殊功能寄存器映射在片内RAM 80H～FFH 区域中，共26个。
位地址空间,相关,片内RAM,位地址空间有211个寻址位，位地址为00H～FFH，其中 00H～7FH 128位处于片内RAM中，其余83个可寻址位分布在特殊功能寄存器SFR中。
位地址空间,相关,特殊功能寄存器,位地址空间有211个寻址位，位地址为00H～FFH，其中 00H～7FH 128位处于片内RAM中，其余83个可寻址位分布在特殊功能寄存器SFR中。
位地址空间,相关,SFR,位地址空间有211个寻址位，位地址为00H～FFH，其中 00H～7FH 128位处于片内RAM中，其余83个可寻址位分布在特殊功能寄存器SFR中。
P3口,相关,引脚第二功能,P3口的每一位都可分别定义为引脚第二功能输入或引脚第二功能输出。
时钟频率,相关,单片机,时钟频率直接影响单片机的速度。
时钟电路质量,相关,单片机,时钟电路质量影响单片机系统的稳定性。
时钟电路,类型,内部时钟,常用的时钟电路有两种方式，一种是内部时钟方式，另一种是外部时钟方式。
时钟电路,类型,外部时钟,常用的时钟电路有两种方式，一种是内部时钟方式，另一种是外部时钟方式。
机器周期,相关,CPU,机器周期是CPU完成一个基本操作所需时间。
时钟周期,相关,机器周期,每12个时钟周期为1个机器周期。
低功耗节电工作模式,类型,空闲模式,两种低功耗节电工作模式为空闲模式和掉电保持模式。
低功耗节电工作模式,类型,掉电保持模式,两种低功耗节电工作模式为空闲模式和掉电保持模式。
程序设计语言,包含,C51语言,C51语言是近年来普遍使用的程序设计语言。
C51语言,相关,8051汇编语言,C51语言比8051汇编语言可读性更好。
C51语言,相关,8051汇编语言,C51语言比8051汇编语言可移植性好。
C51语言,相关,8051汇编语言,C51语言与8051汇编语言生成的代码效率高。
C51语言,相关,标准C,C51语言的基本语法与标准C相同，是在标准C的基础上进行的扩展。
C51语言,相关,标准C语言,C51语言与标准C语言的数据类型有一定区别。
C51语言,相关,标准C语言,C51语言与标准C语言的变量存储模式数据不一样。
C51语言,相关,标准C语言,C51语言与标准C语言的头文件不同。
单片机,相关,内部数据存储区,8051单片机的存储区可分为内部数据存储区、外部数据存储区以及程序存储区。
单片机,相关,外部数据存储区,8051单片机的存储区可分为内部数据存储区、外部数据存储区以及程序存储区。
单片机,相关,程序存储区,8051单片机的存储区可分为内部数据存储区、外部数据存储区以及程序存储区。
内部数据存储区,并列,程序存储区,8051单片机的存储区可分为内部数据存储区、外部数据存储区以及程序存储区。
外部数据存储区,并列,程序存储区,8051单片机的存储区可分为内部数据存储区、外部数据存储区以及程序存储区。
内部数据存储区,并列,外部数据存储区,8051单片机的存储区可分为内部数据存储区、外部数据存储区以及程序存储区。
C51存储类型,类型,data,内部数据存储区可分为3个不同的C51存储类型：data、idata和bdata。
C51存储类型,类型,idata,内部数据存储区可分为3个不同的C51存储类型：data、idata和bdata。
C51存储类型,类型,xdata,内部数据存储区可分为3个不同的C51存储类型：data、idata和bdata。
C51存储类型,类型,pdata,外部数据存储区分为2个不同的C51存储类型：xdata和pdata。
数据类型,扩展,位变量,C51在标准C基础上，扩展了4种数据类型，分别是位变量bit、特殊功能寄存器sfr、特殊功能寄存器sfr16、特殊功能位sbit。
数据类型,扩展,特殊功能寄存器,C51在标准C基础上，扩展了4种数据类型，分别是位变量bit、特殊功能寄存器sfr、特殊功能寄存器sfr16、特殊功能位sbit。
数据类型,扩展,特殊功能位,C51在标准C基础上，扩展了4种数据类型，分别是位变量bit、特殊功能寄存器sfr、特殊功能寄存器sfr16、特殊功能位sbit。
数据类型,扩展,位变量,C51在标准C基础上，扩展了4种数据类型，分别是位变量bit、特殊功能寄存器sfr、特殊功能寄存器sfr16、特殊功能位sbit。
位变量,等价,bit,C51在标准C基础上，扩展了4种数据类型，分别是位变量bit、特殊功能寄存器sfr、特殊功能寄存器sfr16、特殊功能位sbit。
特殊功能位,等价,sbit,C51在标准C基础上，扩展了4种数据类型，分别是位变量bit、特殊功能寄存器sfr、特殊功能寄存器sfr16、特殊功能位sbit。
sbit,相关,特殊功能寄存器,sbit是指AT89S51片内特殊功能寄存器的可寻址位。
C51语言存储区,类型,DATA,C51语言存储区有DATA、BDATA、IDATA、XDATA、PDATA、CODE。
C51语言存储区,类型,IDATA,C51语言存储区有DATA、BDATA、IDATA、XDATA、PDATA、CODE。
C51语言存储区,类型,BDATA,C51语言存储区有DATA、BDATA、IDATA、XDATA、PDATA、CODE。
C51语言存储区,类型,XDATA,C51语言存储区有DATA、BDATA、IDATA、XDATA、PDATA、CODE。
C51语言存储区,类型,PDATA,C51语言存储区有DATA、BDATA、IDATA、XDATA、PDATA、CODE。
C51语言存储区,类型,CODE,C51语言存储区有DATA、BDATA、IDATA、XDATA、PDATA、CODE。
DATA,相关,data,DATA的存储类型为data，与存储空间的对应关系为片内RAM直接寻址区，位于片内RAM的低128字节。
BDATA,相关,bdata,BDATA的存储类型为bdata，与存储空间的对应关系为片内RAM位寻址区，位于20H~2FH空间。
IDATA,相关,idata,IDATA的存储类型为idata，与存储空间的对应关系为片内RAM的256字节，必须间接寻址的存储区。
XDATA,相关,xdata,XDATA的存储类型为xdata，与存储空间的对应关系为片外64KB的RAM空间，使用@DPTR间接寻址。
PDATA,相关,pdata,PDATA的存储类型为pdata，与存储空间的对应关系为片外RAM的256字节，使用@Ri间接寻址。
CODE,相关,code,CODE的存储类型为code与存储空间的对应关系为程序存储区，使用DPTR寻址。
IDATA,相关,指针,IDATA区使用寄存器作为指针来对片内RAM进行间接寻址。
指针,相关,间接寻址,IDATA区使用寄存器作为指针来对片内RAM进行间接寻址。
指针,相关,片内RAM,IDATA区使用寄存器作为指针来对片内RAM进行间接寻址。
片内RAM,包含,特殊功能寄存器,特殊功能寄存器分布在片内RAM高128字节中，只能采用直接寻址方式。
特殊功能寄存器,相关,直接寻址,特殊功能寄存器分布在片内RAM高128字节中，只能采用直接寻址方式。
特殊功能寄存器,相关,头文件,8051单片机的特殊功能寄存器可通过头文件来访问。
访问绝对地址,包含,宏,C51常用的访问绝对地址的方法是绝对宏和_at_关键字。
访问绝对地址,包含,.at.,C51常用的访问绝对地址的方法是绝对宏和_at_关键字。
absacc.h头文件声明的宏,包含,CBYTE,absacc.h头文件声明的宏包括CBYTE、CWORD、DBYTE、DWORD、XBYTE、XWORD、PBYTE、PWORD。
absacc.h头文件声明的宏,包含,CWORD,absacc.h头文件声明的宏包括CBYTE、CWORD、DBYTE、DWORD、XBYTE、XWORD、PBYTE、PWORD。
absacc.h头文件声明的宏,包含,DBYTE,absacc.h头文件声明的宏包括CBYTE、CWORD、DBYTE、DWORD、XBYTE、XWORD、PBYTE、PWORD。
absacc.h头文件声明的宏,包含,DWORD,absacc.h头文件声明的宏包括CBYTE、CWORD、DBYTE、DWORD、XBYTE、XWORD、PBYTE、PWORD。
absacc.h头文件声明的宏,包含,XBYTE,absacc.h头文件声明的宏包括CBYTE、CWORD、DBYTE、DWORD、XBYTE、XWORD、PBYTE、PWORD。
absacc.h头文件声明的宏,包含,XWORD,absacc.h头文件声明的宏包括CBYTE、CWORD、DBYTE、DWORD、XBYTE、XWORD、PBYTE、PWORD。
absacc.h头文件声明的宏,包含,PBYTE,absacc.h头文件声明的宏包括CBYTE、CWORD、DBYTE、DWORD、XBYTE、XWORD、PBYTE、PWORD。
absacc.h头文件声明的宏,包含,PWORD,absacc.h头文件声明的宏包括CBYTE、CWORD、DBYTE、DWORD、XBYTE、XWORD、PBYTE、PWORD。
CBYTE,相关,code,CBYTE以字节形式对code区寻址。
CWORD,相关,code,CWORD以字形式对code区寻址。
DBYTE,相关,data,DBYTE以字节形式对data区寻址。
DWORD,相关,data,DWORD以字形式对data区寻址。
XBYTE,相关,xdata,XBYTE以字节形式对xdata区寻址。
XWORD,相关,xdata,XWORD以字形式对xdata区寻址。
PBYTE,相关,pdata,PBYTE以字节形式对pdata区寻址。
PWORD,相关,pdata,PWORD以字形式对pdata区寻址。
.at.,相关,绝对地址访问,关键字_at_可对指定的存储器空间的绝对地址访问。
C51基本运算,类型,算术运算,C51基本运算主要包括算术运算、关系运算、逻辑运算、位运算和赋值运算及其表达式等。
C51基本运算,类型,关系运算,C51基本运算主要包括算术运算、关系运算、逻辑运算、位运算和赋值运算及其表达式等。
C51基本运算,类型,逻辑运算,C51基本运算主要包括算术运算、关系运算、逻辑运算、位运算和赋值运算及其表达式等。
C51基本运算,类型,位运算,C51基本运算主要包括算术运算、关系运算、逻辑运算、位运算和赋值运算及其表达式等。
C51基本运算,类型,赋值运算,C51基本运算主要包括算术运算、关系运算、逻辑运算、位运算和赋值运算及其表达式等。
算术运算,类型,加法运算,算术运算包括加法运算、减法运算、乘法运算、除法运算、取余数运算、自增1、自减1。
算术运算,类型,减法运算,算术运算包括加法运算、减法运算、乘法运算、除法运算、取余数运算、自增1、自减1。
算术运算,类型,乘法运算,算术运算包括加法运算、减法运算、乘法运算、除法运算、取余数运算、自增1、自减1。
算术运算,类型,除法运算,算术运算包括加法运算、减法运算、乘法运算、除法运算、取余数运算、自增1、自减1。
算术运算,类型,取余数运算,算术运算包括加法运算、减法运算、乘法运算、除法运算、取余数运算、自增1、自减1。
算术运算,类型,自增1,算术运算包括加法运算、减法运算、乘法运算、除法运算、取余数运算、自增1、自减1。
算术运算,类型,自减1,算术运算包括加法运算、减法运算、乘法运算、除法运算、取余数运算、自增1、自减1。
加法运算,等价,+,加法运算是+。
减法运算,等价,-,减法运算是-。
乘法运算,等价,*,乘法运算是*。
除法运算,等价,/,除法运算是/。
取余数运算,等价,%,取余数运算是%。
自增1,等价,++,自增1是++。
自减1,等价,--,自减1是--。
逻辑运算,包含,逻辑与,逻辑运算包括逻辑与、逻辑或、逻辑非。
逻辑运算,包含,逻辑或,逻辑运算包括逻辑与、逻辑或、逻辑非。
逻辑运算,包含,逻辑非,逻辑运算包括逻辑与、逻辑或、逻辑非。
逻辑与,等价,&&,逻辑与是&&。
逻辑或,等价,||,逻辑或是||。
逻辑非,等价,！,逻辑非是！。
关系运算符,包含,大于,关系运算符包括大于、小于、大于等于、小于等于、等于、不等于。
关系运算符,包含,小于,关系运算符包括大于、小于、大于等于、小于等于、等于、不等于。
关系运算符,包含,大于等于,关系运算符包括大于、小于、大于等于、小于等于、等于、不等于。
关系运算符,包含,小于等于,关系运算符包括大于、小于、大于等于、小于等于、等于、不等于。
关系运算符,包含,等于,关系运算符包括大于、小于、大于等于、小于等于、等于、不等于。
关系运算符,包含,不等于,关系运算符包括大于、小于、大于等于、小于等于、等于、不等于。
大于,等价,>,大于是>。
小于,等价,<,小于是<。
大于等于,等价,>=,大于等于是>=。
小于等于,等价,<=,小于等于是<=。
等于,等价,==,等于是==。
不等于,等价,！=,不等于是！=。
位运算符,包含,按位逻辑与,位运算符包括按位逻辑与、按位逻辑或、按位异或、按位取反、按位左移、按位右移。
位运算符,包含,按位逻辑或,位运算符包括按位逻辑与、按位逻辑或、按位异或、按位取反、按位左移、按位右移。
位运算符,包含,按位异或,位运算符包括按位逻辑与、按位逻辑或、按位异或、按位取反、按位左移、按位右移。
位运算符,包含,按位取反,位运算符包括按位逻辑与、按位逻辑或、按位异或、按位取反、按位左移、按位右移。
位运算符,包含,按位左移,位运算符包括按位逻辑与、按位逻辑或、按位异或、按位取反、按位左移、按位右移。
位运算符,包含,按位右移,位运算符包括按位逻辑与、按位逻辑或、按位异或、按位取反、按位左移、按位右移。
按位逻辑与,等价,&,按位逻辑与是&。
按位逻辑或,等价,|,按位逻辑或是|。
按位异或,等价,^,按位异或是^。
按位取反,等价,~,按位取反是~。
按位左移,等价,<<,按位左移是<<。
按位右移,等价,>>,按位右移是>>。
C51程序结构,类型,顺序结构,C51程序结构可分为3类，即顺序结构、分支结构和循环结构。
C51程序结构,类型,分支结构,C51程序结构可分为3类，即顺序结构、分支结构和循环结构。
C51程序结构,类型,循环结构,C51程序结构可分为3类，即顺序结构、分支结构和循环结构。
分支控制语句,包含,if语句,分支控制语句有：if语句和switch语句。
分支控制语句,包含,switch语句,分支控制语句有：if语句和switch语句。
循环结构语句,包含,while语句,循环结构语句有：while语句、do-while语句和for语句。
